iter	RMSE
0	30.87766153
1	30.68863336
2	30.51140749
3	30.24629181
4	30.07238518
5	29.81574152
6	29.633605
7	29.54726805
8	29.32648562
9	29.12294064
10	28.86945679
11	28.715147
12	28.50946994
13	28.34830509
14	28.15592747
15	28.0032485
16	27.80577229
17	27.65515808
18	27.48362327
19	27.29290501
20	27.0459939
21	26.78269842
22	26.59806865
23	26.5405536
24	26.34990495
25	26.20431495
26	25.97823781
27	25.73855597
28	25.58031807
29	25.46112734
30	25.27921478
31	25.12403792
32	24.95002964
33	24.78210024
34	24.56220325
35	24.41326184
36	24.2368915
37	24.0868128
38	23.92382059
39	23.78005789
40	23.64750426
41	23.51879957
42	23.33090846
43	23.1598957
44	22.9652735
45	22.88688319
46	22.76710589
47	22.63797439
48	22.49358577
49	22.31297959
50	22.20866796
51	22.09533148
52	21.9832858
53	21.84806574
54	21.66799328
55	21.60473561
56	21.4892013
57	21.37191278
58	21.23250328
59	21.18142847
60	21.04607234
61	20.97798477
62	20.84075285
63	20.73310185
64	20.63753015
65	20.53191316
66	20.40842438
67	20.28017012
68	20.20977039
69	20.1039913
70	19.97489096
71	19.83158347
72	19.70529507
73	19.57839241
74	19.42554447
75	19.37658138
76	19.33536173
77	19.20982076
78	19.16358452
79	19.03419125
80	18.94122799
81	18.76748794
82	18.6476631
83	18.55590752
84	18.44982139
85	18.31515115
86	18.17616973
87	18.0585476
88	17.94295524
89	17.90583706
90	17.79920915
91	17.69326315
92	17.57685012
93	17.46644074
94	17.40766527
95	17.31029936
96	17.22483541
97	17.16618246
98	17.11917871
99	17.05972581
100	16.95393109
101	16.83785963
102	16.7897979
103	16.73622715
104	16.64833672
105	16.53944995
106	16.44537625
107	16.410977
108	16.36376206
109	16.31068087
110	16.21790565
111	16.13645902
112	16.05514468
113	15.92903122
114	15.820537
115	15.76914316
116	15.71521903
117	15.67395656
118	15.53238605
119	15.43346585
120	15.33649355
121	15.22130217
122	15.13008482
123	15.05498207
124	14.9742731
125	14.91887654
126	14.84703726
127	14.76334745
128	14.6814148
129	14.55335334
130	14.41722958
131	14.29981427
132	14.21263737
133	14.14272248
134	14.009155
135	13.94852257
136	13.87299998
137	13.80032105
138	13.70152266
139	13.61927193
140	13.53704754
141	13.47053088
142	13.3539386
143	13.28583864
144	13.19706346
145	13.12035199
146	13.09235393
147	13.03244726
148	12.96048342
149	12.92047156
150	12.87422325
151	12.82256148
152	12.72632952
153	12.68570529
154	12.60375948
155	12.52880346
156	12.48942125
157	12.42054466
158	12.34127656
159	12.27301636
160	12.19766205
161	12.15900609
162	12.0800026
163	12.04147575
164	12.0046169
165	11.93318509
166	11.84559684
167	11.80223651
168	11.7288718
169	11.69559614
170	11.65904816
171	11.5577526
172	11.4823141
173	11.41428793
174	11.37999961
175	11.34698796
176	11.3158205
177	11.23471201
178	11.16737312
179	11.09141577
180	11.00068362
181	10.93892909
182	10.90507153
183	10.87283027
184	10.84081807
185	10.80659646
186	10.77496156
187	10.68998429
188	10.60931363
189	10.55157388
190	10.49108928
191	10.4274325
192	10.400219
193	10.37420955
194	10.34689365
195	10.282219
196	10.21883512
197	10.16286144
198	10.10088718
199	10.03522672
200	9.989543751
201	9.934408287
202	9.909453942
203	9.884827445
204	9.860498318
205	9.834437053
206	9.776993361
207	9.720157674
208	9.661262485
209	9.635568824
210	9.579538163
211	9.549062576
212	9.524350762
213	9.47598514
214	9.41210251
215	9.357529832
216	9.335117705
217	9.310458623
218	9.25653828
219	9.211158757
220	9.180481627
221	9.154381122
222	9.130620399
223	9.076758309
224	9.024476239
225	8.972880804
226	8.920030666
227	8.865706024
228	8.843019185
229	8.790728959
230	8.73786144
231	8.68580093
232	8.644198145
233	8.58924106
234	8.567135395
235	8.516631434
236	8.455238203
237	8.40817415
238	8.358533016
239	8.306854888
240	8.258281816
241	8.206107846
242	8.157998168
243	8.111103178
244	8.057016129
245	8.008744209
246	7.959437629
247	7.913371159
248	7.865472893
249	7.817841426
250	7.771377154
251	7.725734392
252	7.682140496
253	7.638554852
254	7.597788784
255	7.554308073
256	7.511525412
257	7.469195507
258	7.423615643
259	7.380257516
260	7.335512094
261	7.29478536
262	7.25364944
263	7.212892786
264	7.16754988
265	7.12368813
266	7.078758554
267	7.038814107
268	6.999729763
269	6.961409034
270	6.922562286
271	6.883845407
272	6.845446434
273	6.807223077
274	6.76627827
275	6.727641055
276	6.688308645
277	6.649969439
278	6.608303118
279	6.57230156
280	6.535381035
281	6.496880572
282	6.460385462
283	6.425646642
284	6.389432521
285	6.350763249
286	6.314821485
287	6.281014252
288	6.247207448
289	6.209579368
290	6.176060616
291	6.137458008
292	6.104120494
293	6.06862051
294	6.032730514
295	6.000097726
296	5.967642193
297	5.932500091
298	5.897165243
299	5.862631442
300	5.831156841
301	5.797843762
302	5.766879411
303	5.735708508
304	5.702411322
305	5.670363351
306	5.635674412
307	5.605780759
308	5.573922769
309	5.539910651
310	5.510510932
311	5.477052302
312	5.448239312
313	5.415147961
314	5.386770099
315	5.358249887
316	5.329942172
317	5.300937927
318	5.272470401
319	5.240879274
320	5.213418696
321	5.18233267
322	5.151399888
323	5.125455825
324	5.094672438
325	5.064368028
326	5.037262142
327	5.007293775
328	4.977584537
329	4.951107129
330	4.921859627
331	4.895795331
332	4.869937978
333	4.841191717
334	4.812525473
335	4.784102338
336	4.759022965
337	4.731952534
338	4.707262495
339	4.682770073
340	4.655667938
341	4.628345083
342	4.604415334
343	4.578243282
344	4.551672419
345	4.525693305
346	4.499557416
347	4.476546725
348	4.453722229
349	4.427969219
350	4.403785025
351	4.379134495
352	4.354096086
353	4.332126728
354	4.307431718
355	4.282973748
356	4.261506569
357	4.237297168
358	4.21616289
359	4.19231706
360	4.171511385
361	4.148199173
362	4.125010712
363	4.102019072
364	4.081853088
365	4.059208795
366	4.039361078
367	4.017059733
368	3.997526249
369	3.978155828
370	3.958947411
371	3.939899946
372	3.916870724
373	3.898121597
374	3.879530322
375	3.858459117
376	3.840166189
377	3.819488418
378	3.798912559
379	3.778515357
380	3.760798742
381	3.742157439
382	3.724715369
383	3.707422371
384	3.687713254
385	3.669612449
386	3.652721181
387	3.635975261
388	3.618272793
389	3.600727887
390	3.58064176
391	3.562756554
392	3.545038635
393	3.527486496
394	3.50959805
395	3.49283155
396	3.475687546
397	3.458704711
398	3.441381383
399	3.424221492
400	3.407252365
401	3.391302921
402	3.375498066
403	3.358944053
404	3.343423677
405	3.32465544
406	3.306096466
407	3.29174475
408	3.277520936
409	3.262586261
410	3.244579026
411	3.226774101
412	3.213003097
413	3.197716374
414	3.180343258
415	3.165323681
416	3.150448972
417	3.131769047
418	3.117920915
419	3.103449547
420	3.085236804
421	3.064755505
422	3.044516873
423	3.024518054
424	3.004756233
425	2.985228629
426	2.965932497
427	2.946865127
428	2.928023844
429	2.909406008
430	2.892996302
431	2.87476275
432	2.858681769
433	2.840824899
434	2.825066152
435	2.809467746
436	2.792135655
437	2.77685005
438	2.761720086
439	2.740587649
440	2.725787533
441	2.711138435
442	2.696638853
443	2.682287307
444	2.66215007
445	2.648112806
446	2.634219211
447	2.620467867
448	2.606857375
449	2.593386349
450	2.580053422
451	2.560165249
452	2.54712418
453	2.534217095
454	2.522845733
455	2.510167086
456	2.491131049
